cre_jgi5_5	MapManId	MapManDescription
Cre06.g294850	GMM:29.5.11.3	protein.degradation.ubiquitin.E2
Cre06.g278093	GMM:26.2	misc.UDP glucosyl and glucoronyl transferases
Cre06.g264600	GMM:28.1.3.2.4;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H4;DNA.synthesis/chromatin structure.histone
Cre06.g266500		
Cre06.g271000		
Cre06.g250350		
Cre06.g278299		
Cre06.g255800		
Cre06.g307200		
Cre06.g257150	GMM:29.2.1.2.2.537;GMM:29.2.1.2.2.0537	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L37A;protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L37A
Cre06.g253754		
Cre06.g265850	GMM:29.5.5;GMM:29.5	protein.degradation.serine protease;protein.degradation
Cre06.g293051	GMM:34.5	transport.ammonium
Cre06.g279950		
Cre06.g253459		
Cre06.g281950		
Cre06.g303572		
Cre06.g263200		
Cre06.g281350	GMM:29.5.5	protein.degradation.serine protease
Cre06.g249550		
Cre06.g259700		
Cre06.g252450	GMM:30.5;GMM:3.5	signalling.G-proteins;minor CHO metabolism.others
Cre06.g284500	GMM:28.99;GMM:27.1.19	DNA.unspecified;RNA.processing.ribonucleases
Cre06.g278174		
Cre06.g252650	GMM:16.5.1.1.1.4;GMM:13.2.4.4	secondary metabolism.sulfur-containing.glucosinolates.synthesis.aliphatic.methylthioalkylmalate isomerase small subunit (MAM-IS);amino acid metabolism.degradation.branched chain group.leucine
Cre06.g298600		
Cre06.g302551		
Cre06.g274850	GMM:28.1.3.2.3;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H3;DNA.synthesis/chromatin structure.histone
Cre06.g303200	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins
Cre06.g259000		
Cre06.g290150		
Cre06.g280420		
Cre06.g278216		
Cre06.g268400	GMM:28.1.3.2.4;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H4;DNA.synthesis/chromatin structure.histone
Cre06.g278265	GMM:29.4.1;GMM:29.4	protein.postranslational modification.kinase;protein.postranslational modification
Cre06.g249700		
Cre06.g278154		
Cre06.g296850		
Cre06.g278118		
Cre06.g303183	GMM:29.4	protein.postranslational modification
Cre06.g309717	GMM:18.7	Co-factor and vitamine metabolism.iron-sulphur clusters
Cre06.g278257		
Cre06.g278162	GMM:1.5	PS.carbon concentrating mechanism
Cre06.g280950	GMM:4.1.14	glycolysis.cytosolic branch.pyruvate kinase (PK)
Cre06.g277650		
Cre06.g255200		
Cre06.g297016	GMM:28.2	DNA.repair
Cre06.g261850		
Cre06.g256526		
Cre06.g283350		
Cre06.g283975		
Cre06.g293650		
Cre06.g271300	GMM:28.1.3.2.4;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H4;DNA.synthesis/chromatin structure.histone
Cre06.g261350		
Cre06.g277350	GMM:27.3.55	RNA.regulation of transcription.HDA
Cre06.g296936		
Cre06.g303650	GMM:29.2.3	protein.synthesis.initiation
Cre06.g289000		
Cre06.g262150		
Cre06.g264850		
Cre06.g256700		
Cre06.g297900		
Cre06.g311900	GMM:30.5;GMM:3.5	signalling.G-proteins;minor CHO metabolism.others
Cre06.g286950		
Cre06.g253000		
Cre06.g300750	GMM:27.1.1	RNA.processing.splicing
Cre06.g280200		
Cre06.g305800	GMM:29.5	protein.degradation
Cre06.g311950	GMM:26.2	misc.UDP glucosyl and glucoronyl transferases
Cre06.g254027		
Cre06.g272500		
Cre06.g290300		
Cre06.g305550		
Cre06.g294550		
Cre06.g296000		
Cre06.g283550	GMM:31.6.1.1	cell.motility.eukaryotes.basal bodies
Cre06.g290450	GMM:29.4;GMM:27.4	protein.postranslational modification;RNA.RNA binding
Cre06.g285650	GMM:28.1	DNA.synthesis/chromatin structure
Cre06.g292750		
Cre06.g304250		
Cre06.g269000		
Cre06.g306100		
Cre06.g278086		
Cre06.g301476		
Cre06.g268100	GMM:28.1.3.2.2;GMM:28.1.3.2.1;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H2B;DNA.synthesis/chromatin structure.histone.core.H2A;DNA.synthesis/chromatin structure.histone
Cre06.g278116		
Cre06.g294650	GMM:13.1.5.2.3;GMM:13.1.1.3.11;GMM:1.2.3	amino acid metabolism.synthesis.serine-glycine-cysteine group.glycine.serine glyoxylate aminotransferase;amino acid metabolism.synthesis.central amino acid metabolism.alanine.alanine-glyoxylate aminotransferase;PS.photorespiration.aminotransferases peroxisomal
Cre06.g308250	GMM:29.2.1.2.1.4	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S4
Cre06.g265150	GMM:29.5.11.5;GMM:29.5.11	protein.degradation.ubiquitin.ubiquitin protease;protein.degradation.ubiquitin
Cre06.g310800		
Cre06.g308750		
Cre06.g254550		
Cre06.g260300		
Cre06.g296300		
Cre06.g278550	GMM:9.1.2	mitochondrial electron transport / ATP synthesis.NADH-DH (type I).localisation not clear
Cre06.g306021		
Cre06.g260700	GMM:34.99	transport.misc
Cre06.g258650		
Cre06.g299000	GMM:29.2.1.1.4.2	protein.synthesis.ribosomal protein.prokaryotic.non-organellar.50S subunit
Cre06.g305200	GMM:27.3.11	RNA.regulation of transcription.C2H2 zinc finger family
Cre06.g278197	GMM:29.5.3	protein.degradation.cysteine protease
Cre06.g292400		
Cre06.g292600		
Cre06.g275150	GMM:11.9.2.1	lipid metabolism.lipid degradation.lipases.triacylglycerol lipase
Cre06.g294900		
Cre06.g272600		
Cre06.g306300	GMM:19.10;GMM:19.1	tetrapyrrole synthesis.magnesium chelatase;tetrapyrrole synthesis.glu-tRNA synthetase
Cre06.g253150	GMM:29.5.7	protein.degradation.metalloprotease
Cre06.g257650	GMM:29.4	protein.postranslational modification
Cre06.g301900		
Cre06.g274350	GMM:28.1.3.2.3;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H3;DNA.synthesis/chromatin structure.histone
Cre06.g287300		
Cre06.g301251		
Cre06.g277600		
Cre06.g287600		
Cre06.g278244		
Cre06.g290900		
Cre06.g271900		
Cre06.g252050		
Cre06.g266550		
Cre06.g278232		
Cre06.g251500	GMM:22.1.7;GMM:22.1.6	polyamine metabolism.synthesis.spermine synthase;polyamine metabolism.synthesis.spermidine synthase
Cre06.g281650		
Cre06.g248750		
Cre06.g275800	GMM:28.1.3.2.2;GMM:28.1.3.2.1;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H2B;DNA.synthesis/chromatin structure.histone.core.H2A;DNA.synthesis/chromatin structure.histone
Cre06.g310900		
Cre06.g254400	GMM:8.1.8	TCA / organic transformation.TCA.fumarase
Cre06.g278134		
Cre06.g284050	GMM:27.3.51	"RNA.regulation of transcription.general transcription, TBP-binding protein"
Cre06.g278098	GMM:13.2.4.4	amino acid metabolism.degradation.branched chain group.leucine
Cre06.g250000		
Cre06.g297400	GMM:26.7	"misc.oxidases - copper, flavone etc"
Cre06.g298350	GMM:29.2.3	protein.synthesis.initiation
Cre06.g295376		
Cre06.g283600		
Cre06.g302800	GMM:30.6;GMM:29.4.1;GMM:29.4	signalling.MAP kinases;protein.postranslational modification.kinase;protein.postranslational modification
Cre06.g279300		
Cre06.g255550		
Cre06.g253975		
Cre06.g274450		
Cre06.g262601	GMM:28.2	DNA.repair
Cre06.g253569		
Cre06.g250150		
Cre06.g278181	GMM:27.3.3;GMM:17.5.2	"RNA.regulation of transcription.AP2/EREBP, APETALA2/ethylene-responsive element binding protein family;hormone metabolism.ethylene.signal transduction"
Cre06.g303800		
Cre06.g270450		
Cre06.g278290		
Cre06.g256420	GMM:27.2	RNA.transcription
Cre06.g287800		
Cre06.g299300	GMM:31.6.1.1;GMM:31.1.1.2;GMM:31.1	cell.motility.eukaryotes.basal bodies;cell.organisation.cytoskeleton.mikrotubuli;cell.organisation
Cre06.g249101		
Cre06.g267650	GMM:30.6;GMM:29.4.1;GMM:29.4	signalling.MAP kinases;protein.postranslational modification.kinase;protein.postranslational modification
Cre06.g278190		
Cre06.g254175		
Cre06.g270900	GMM:27.2;GMM:27.1	RNA.transcription;RNA.processing
Cre06.g272250		
Cre06.g278285		
Cre06.g278247		
Cre06.g304913		
Cre06.g300139		
Cre06.g253750		
Cre06.g261300		
Cre06.g273800	GMM:29.2.4	protein.synthesis.elongation
Cre06.g253350	GMM:1.2.4.4;GMM:1.2.4	PS.photorespiration.glycine cleavage.H protein;PS.photorespiration.glycine cleavage
Cre06.g262850	GMM:30.5;GMM:3.5	signalling.G-proteins;minor CHO metabolism.others
Cre06.g301100		
Cre06.g302250		
Cre06.g278209		
Cre06.g309200		
Cre06.g266850	GMM:27.3.9	RNA.regulation of transcription.C2C2(Zn) GATA transcription factor family
Cre06.g299800	GMM:11.1.8	lipid metabolism.FA synthesis and FA elongation.acyl CoA ligase
Cre06.g301400		
Cre06.g311350		
Cre06.g273100	GMM:26.3	"misc.gluco-, galacto- and mannosidases"
Cre06.g278222	GMM:33.99;GMM:30.5;GMM:30.2.99;GMM:29.4	development.unspecified;signalling.G-proteins;signalling.receptor kinases.misc;protein.postranslational modification
Cre06.g283250		
Cre06.g262500		
Cre06.g270726		
Cre06.g286050	GMM:34.9	transport.metabolite transporters at the mitochondrial membrane
Cre06.g307100	GMM:35.1.1	not assigned.no ontology.ABC1 family protein
Cre06.g281563		
Cre06.g278101	GMM:13.1.4.5	amino acid metabolism.synthesis.branched chain group.isoleucine specific
Cre06.g280450		
Cre06.g273850	GMM:28.1.3.2.2;GMM:28.1.3.2.1;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H2B;DNA.synthesis/chromatin structure.histone.core.H2A;DNA.synthesis/chromatin structure.histone
Cre06.g276001		
Cre06.g297300		
Cre06.g278160	GMM:2.1	major CHO metabolism.synthesis
Cre06.g310500	GMM:27.3.60	RNA.regulation of transcription.NIN-like bZIP-related family
Cre06.g278249	GMM:16.2;GMM:13.1.1.2.1	secondary metabolism.phenylpropanoids;amino acid metabolism.synthesis.central amino acid metabolism.aspartate.aspartate aminotransferase
Cre06.g309350	GMM:29.3.4.1	protein.targeting.secretory pathway.ER
Cre06.g309050	GMM:27.3.99	RNA.regulation of transcription.unclassified
Cre06.g252800		
Cre06.g264750	GMM:28.1.3.2.1;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H2A;DNA.synthesis/chromatin structure.histone
Cre06.g264700	GMM:28.1.3	DNA.synthesis/chromatin structure.histone
Cre06.g259100		
Cre06.g260776		
Cre06.g302150		
Cre06.g282700		
Cre06.g258100		
Cre06.g264150		
Cre06.g255050		
Cre06.g288500		
Cre06.g261100		
Cre06.g278292		
Cre06.g282750		
Cre06.g271250	GMM:28.1.3.2.3;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H3;DNA.synthesis/chromatin structure.histone
Cre06.g256600		
Cre06.g279800		
Cre06.g257200		
Cre06.g278225	GMM:26.5	misc.acyl transferases
Cre06.g286250	GMM:34.9	transport.metabolite transporters at the mitochondrial membrane
Cre06.g278146		
Cre06.g249450		
Cre06.g278136	GMM:29.5.11.4.2;GMM:28.1.3;GMM:27.3.12	protein.degradation.ubiquitin.E3.RING;DNA.synthesis/chromatin structure.histone;RNA.regulation of transcription.C3H zinc finger family
Cre06.g269200	GMM:30.2.11	signalling.receptor kinases.leucine rich repeat XI
Cre06.g267750	GMM:29.5.5	protein.degradation.serine protease
Cre06.g257050	GMM:2.1.2.2	major CHO metabolism.synthesis.starch.starch synthase
Cre06.g259476		
Cre06.g278085		
Cre06.g292950		
Cre06.g278168	GMM:34.99	transport.misc
Cre06.g308350	GMM:29.4	protein.postranslational modification
Cre06.g263289		
Cre06.g281850		
Cre06.g291750		
Cre06.g308050		
Cre06.g268900		
Cre06.g256250	GMM:1.1.99.1	PS.lightreaction.unspecified.TEF
Cre06.g307650		
Cre06.g310250		
Cre06.g299550		
Cre06.g301806		
Cre06.g294750	GMM:19.15	tetrapyrrole synthesis.chlorophyll synthase
Cre06.g283700		
Cre06.g293750		
Cre06.g250450	GMM:34.99	transport.misc
Cre06.g278260	GMM:29.4	protein.postranslational modification
Cre06.g259950		
Cre06.g300400	GMM:29.5	protein.degradation
Cre06.g278267		
Cre06.g269100		
Cre06.g252250		
Cre06.g265300		
Cre06.g278143	GMM:10.1.6	cell wall.precursor synthesis.GAE
Cre06.g278255		
Cre06.g296400	GMM:13.2.4.4	amino acid metabolism.degradation.branched chain group.leucine
Cre06.g279050		
Cre06.g255850		
Cre06.g307950		
Cre06.g303000		
Cre06.g286850		
Cre06.g274200	GMM:28.1.3.2.1;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H2A;DNA.synthesis/chromatin structure.histone
Cre06.g268000	GMM:28.1.3.2.4;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H4;DNA.synthesis/chromatin structure.histone
Cre06.g307750		
Cre06.g276950	GMM:28.1.3.2.1;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H2A;DNA.synthesis/chromatin structure.histone
Cre06.g258583		
Cre06.g286750		
Cre06.g302400		
Cre06.g278123		
Cre06.g311800		
Cre06.g252576		
Cre06.g295301		
Cre06.g268350	GMM:28.1.3.2.3;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H3;DNA.synthesis/chromatin structure.histone
Cre06.g280250		
Cre06.g304350	GMM:9.7	mitochondrial electron transport / ATP synthesis.cytochrome c oxidase
Cre06.g277050		
Cre06.g278302		
Cre06.g254300		
Cre06.g284900	GMM:31.3.1;GMM:29.6.3.2	cell.cycle.peptidylprolyl isomerase;protein.folding.immunophilins (IMM).cyclophilins
Cre06.g289450		
Cre06.g287450	GMM:31.3;GMM:31.2;GMM:30.6;GMM:3.6;GMM:29.4	cell.cycle;cell.division;signalling.MAP kinases;minor CHO metabolism.callose;protein.postranslational modification
Cre06.g278172	GMM:31.4	cell.vesicle transport
Cre06.g261950		
Cre06.g278350	GMM:13.1.6.4.2;GMM:13.1.6.4.1	amino acid metabolism.synthesis.aromatic aa.tyrosine.prephenate dehydrogenase;amino acid metabolism.synthesis.aromatic aa.tyrosine.arogenate dehydrogenase / prephenate dehydrogenase
Cre06.g249900	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins
Cre06.g267850		
Cre06.g303300	GMM:31.3.1;GMM:29.6.3.2	cell.cycle.peptidylprolyl isomerase;protein.folding.immunophilins (IMM).cyclophilins
Cre06.g293400		
Cre06.g251800	GMM:28.1	DNA.synthesis/chromatin structure
Cre06.g268300	GMM:28.1.3.2.1;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H2A;DNA.synthesis/chromatin structure.histone
Cre06.g257700		
Cre06.g269544		
Cre06.g278199		
Cre06.g302000	GMM:34.99	transport.misc
Cre06.g278131		
Cre06.g288150		
Cre06.g252150		
Cre06.g287700	GMM:29.4	protein.postranslational modification
Cre06.g292850		
Cre06.g272701		
Cre06.g278451	GMM:30.1.2	signalling.in sugar and nutrient physiology.pyruvate dehydrogenase kinase
Cre06.g295001		
Cre06.g306057		
Cre06.g297500		
Cre06.g270300		
Cre06.g250700		
Cre06.g309600		
Cre06.g251350	GMM:30.5;GMM:3.5	signalling.G-proteins;minor CHO metabolism.others
Cre06.g266000	GMM:29.4	protein.postranslational modification
Cre06.g281050	GMM:29.3.4.3	protein.targeting.secretory pathway.vacuole
Cre06.g268250	GMM:28.1.3.2.2;GMM:28.1.3.2.1;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H2B;DNA.synthesis/chromatin structure.histone.core.H2A;DNA.synthesis/chromatin structure.histone
Cre06.g269865		
Cre06.g272950	GMM:29.2.1.2.1.18	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S18
Cre06.g278240		
Cre06.g256950		
Cre06.g278237		
Cre06.g305900	GMM:29.7	protein.glycosylation
Cre06.g310700	GMM:29.2.1.2.2.536;GMM:29.2.1.2.2.44	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L36A;protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L44
Cre06.g294400	GMM:34.99	transport.misc
Cre06.g311150	GMM:34.99	transport.misc
Cre06.g306400	GMM:17.5.1.1	hormone metabolism.ethylene.synthesis-degradation.1-aminocyclopropane-1-carboxylate synthase
Cre06.g276500	GMM:28.1.3.2.1;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H2A;DNA.synthesis/chromatin structure.histone
Cre06.g249555		
Cre06.g278286		
Cre06.g305100		
Cre06.g298300	GMM:35.1.5;GMM:27.3;GMM:1.3.13	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein;RNA.regulation of transcription;PS.calvin cycle.rubisco interacting
Cre06.g290800		
Cre06.g274950	GMM:31.4	cell.vesicle transport
Cre06.g298800		
Cre06.g295050		
Cre06.g274050	GMM:28.1.3	DNA.synthesis/chromatin structure.histone
Cre06.g271526		
Cre06.g275900	GMM:28.1.3	DNA.synthesis/chromatin structure.histone
Cre06.g278800	GMM:27.3.6	RNA.regulation of transcription.basic helix-loop-helix family (bHLH)
Cre06.g311700		
Cre06.g283034		
Cre06.g291400		
Cre06.g299700	GMM:19.99	tetrapyrrole synthesis.unspecified
Cre06.g262700	GMM:9.5	mitochondrial electron transport / ATP synthesis.cytochrome c reductase
Cre06.g259200	GMM:29.2.4	protein.synthesis.elongation
Cre06.g295450	GMM:13.2.5.2;GMM:13.2.5.1;GMM:1.2.6	amino acid metabolism.degradation.serine-glycine-cysteine group.glycine;amino acid metabolism.degradation.serine-glycine-cysteine group.serine;PS.photorespiration.hydroxypyruvate reductase
Cre06.g278245	GMM:31.5.1;GMM:29.3.3	cell.cell death.plants;protein.targeting.chloroplast
Cre06.g277850		
Cre06.g254213		
Cre06.g252300	GMM:30.1.2	signalling.in sugar and nutrient physiology.pyruvate dehydrogenase kinase
Cre06.g262950		
Cre06.g306007		
Cre06.g254077		
Cre06.g261150	GMM:18.6.1	Co-factor and vitamine metabolism.biotin.biotin synthase
Cre06.g298450		
Cre06.g263357		
Cre06.g278297		
Cre06.g283750	GMM:16.1.3.2;GMM:16.1.3	secondary metabolism.isoprenoids.tocopherol biosynthesis.homogentisate phytyltransferase;secondary metabolism.isoprenoids.tocopherol biosynthesis
Cre06.g261500		
Cre06.g300150	GMM:27.3.69	RNA.regulation of transcription.SET-domain transcriptional regulator family
Cre06.g260650		
Cre06.g278229	GMM:33.3;GMM:27.3.28	development.squamosa promoter binding like (SPL);RNA.regulation of transcription.squamosa promoter binding protein family (SBP)
Cre06.g301000	GMM:30.6;GMM:30.2.9;GMM:29.4	signalling.MAP kinases;signalling.receptor kinases.leucine rich repeat IX;protein.postranslational modification
Cre06.g278145		
Cre06.g278217		
Cre06.g282050		
Cre06.g254350		
Cre06.g278275		
Cre06.g311050	GMM:8.1.1.1;GMM:13.2.4.1	TCA / organic transformation.TCA.pyruvate DH.E1;amino acid metabolism.degradation.branched chain group.shared
Cre06.g278293		
Cre06.g286350		
Cre06.g265000	GMM:28.1.3.2.3;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H3;DNA.synthesis/chromatin structure.histone
Cre06.g256500		
Cre06.g258600	GMM:26.1	misc.misc2
Cre06.g263300	GMM:31.1;GMM:29.3.5	cell.organisation;protein.targeting.peroxisomes
Cre06.g275350	GMM:27.3.26;GMM:27.3.25	RNA.regulation of transcription.MYB-related transcription factor family;RNA.regulation of transcription.MYB domain transcription factor family
Cre06.g276100		
Cre06.g261550		
Cre06.g300900	GMM:33.99	development.unspecified
Cre06.g271600		
Cre06.g277801	GMM:28.2	DNA.repair
Cre06.g263500		
Cre06.g255450	GMM:31.2	cell.division
Cre06.g276550	GMM:28.1.3.2.2;GMM:28.1.3.2.1;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H2B;DNA.synthesis/chromatin structure.histone.core.H2A;DNA.synthesis/chromatin structure.histone
Cre06.g258850		
Cre06.g286700		
Cre06.g288900		
Cre06.g278121		
Cre06.g301350		
Cre06.g283150		
Cre06.g249300	GMM:31.1	cell.organisation
Cre06.g309650		
Cre06.g283800		
Cre06.g297150	GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator
Cre06.g278273		
Cre06.g273400		
Cre06.g280350		
Cre06.g278095	GMM:26.17	misc.dynamin
Cre06.g265500	GMM:28.1.3.2.3;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H3;DNA.synthesis/chromatin structure.histone
Cre06.g298850		
Cre06.g304876		
Cre06.g284950		
Cre06.g271750		
Cre06.g257600	GMM:31.6.1.2	cell.motility.eukaryotes.deflagellation
Cre06.g301650		
Cre06.g253900		
Cre06.g303350	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins
Cre06.g277200	GMM:18.6.2;GMM:16.99	Co-factor and vitamine metabolism.biotin.Diaminopelargonic acid aminotransferase  and dethiobiotin synthetase;secondary metabolism.unspecified
Cre06.g275450	GMM:29.4	protein.postranslational modification
Cre06.g263850	GMM:34.8	transport.metabolite transporters at the envelope membrane
Cre06.g278198	GMM:28.99	DNA.unspecified
Cre06.g256300	GMM:29.4;GMM:26.13	protein.postranslational modification;misc.acid and other phosphatases
Cre06.g265550	GMM:30.3;GMM:29.4.1;GMM:29.4	signalling.calcium;protein.postranslational modification.kinase;protein.postranslational modification
Cre06.g255400	GMM:33.99;GMM:27.1.1	development.unspecified;RNA.processing.splicing
Cre06.g298700		
Cre06.g300550		
Cre06.g295500	GMM:26.28	misc.GDSL-motif lipase
Cre06.g284200	GMM:1.1.1.1	PS.lightreaction.photosystem II.LHC-II
Cre06.g296912		
Cre06.g295700	GMM:28.1	DNA.synthesis/chromatin structure
Cre06.g298000		
Cre06.g289700		
Cre06.g296750	GMM:5;GMM:1.1.7.1	fermentation;PS.lightreaction.hydrogenase.FeFe-hydrogenase
Cre06.g282300		
Cre06.g308600		
Cre06.g257351		
Cre06.g284650		
Cre06.g255626		
Cre06.g263602	GMM:29.3.5	protein.targeting.peroxisomes
Cre06.g297600		
Cre06.g253300	GMM:29.5.11	protein.degradation.ubiquitin
Cre06.g268650	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins
Cre06.g278128		
Cre06.g254800	GMM:27.4;GMM:27.1.1	RNA.RNA binding;RNA.processing.splicing
Cre06.g278104		
Cre06.g308850	GMM:29.2.3	protein.synthesis.initiation
Cre06.g269601		
Cre06.g278236		
Cre06.g290000	GMM:27.3.30	RNA.regulation of transcription.triple-helix transcription factor family (Trihelix)
Cre06.g290350		
Cre06.g278211		
Cre06.g280550	GMM:27.4;GMM:27.3.12	RNA.RNA binding;RNA.regulation of transcription.C3H zinc finger family
Cre06.g301800		
Cre06.g269950	GMM:31.2;GMM:29.5.11.20	cell.division;protein.degradation.ubiquitin.proteasom
Cre06.g290050		
Cre06.g263100		
Cre06.g282550		
Cre06.g279750	GMM:29.5.7	protein.degradation.metalloprotease
Cre06.g300800	GMM:29.2.1.99.2.27;GMM:29.2.1.1.1.2.27	protein.synthesis.ribosomal protein.unknown.large subunit.L27;protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L27
Cre06.g257450	GMM:34.1.1.2;GMM:34.1.1	transport.p- and v-ATPases.H+-transporting two-sector ATPase.subunit C;transport.p- and v-ATPases.H+-transporting two-sector ATPase
Cre06.g278288		
Cre06.g281526		
Cre06.g258350		
Cre06.g278178		
Cre06.g296500		
Cre06.g269300		
Cre06.g307850		
Cre06.g303100		
Cre06.g306950	GMM:33.99;GMM:29.4	development.unspecified;protein.postranslational modification
Cre06.g278184	GMM:29.5.11.5	protein.degradation.ubiquitin.ubiquitin protease
Cre06.g254850		
Cre06.g251716		
Cre06.g294450	GMM:3.5	minor CHO metabolism.others
Cre06.g262350		
Cre06.g250100	GMM:29.6.2.3;GMM:20.2.1	protein.folding.chaperones and co-chaperones.HSP70s;stress.abiotic.heat
Cre06.g260850		
Cre06.g278950		
Cre06.g276850	GMM:28.1.3.2.3;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H3;DNA.synthesis/chromatin structure.histone
Cre06.g306726		
Cre06.g277450		
Cre06.g268750	GMM:8.2.10	TCA / organic transformation.other organic acid transformations.malic
Cre06.g310576		
Cre06.g298950		
Cre06.g272760		
Cre06.g278283		
Cre06.g285500		
Cre06.g278090	GMM:29.2.1.1.3.2.1;GMM:29.2.1.1.1.2.1	protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L1;protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L1
Cre06.g273150		
Cre06.g278138		
Cre06.g250600		
Cre06.g311300		
Cre06.g268200	GMM:34.99	transport.misc
Cre06.g285700		
Cre06.g278109		
Cre06.g259850	GMM:29.2.1.1.4.2	protein.synthesis.ribosomal protein.prokaryotic.non-organellar.50S subunit
Cre06.g293200		
Cre06.g256550		
Cre06.g302426		
Cre06.g264800	GMM:28.1.3.2.2;GMM:28.1.3.2.1;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H2B;DNA.synthesis/chromatin structure.histone.core.H2A;DNA.synthesis/chromatin structure.histone
Cre06.g307350	GMM:30.5;GMM:3.5;GMM:27.3.99	signalling.G-proteins;minor CHO metabolism.others;RNA.regulation of transcription.unclassified
Cre06.g257800	GMM:28.1	DNA.synthesis/chromatin structure
Cre06.g303751		
Cre06.g275650	GMM:29.5.11.20	protein.degradation.ubiquitin.proteasom
Cre06.g305650	GMM:31.5.1;GMM:29.3.3;GMM:26.30	cell.cell death.plants;protein.targeting.chloroplast;misc.other Ferredoxins and Rieske domain
Cre06.g293350		
Cre06.g261650	GMM:29.6.1;GMM:29.6	protein.folding.prefoldin and trigger factor;protein.folding
Cre06.g303171		
Cre06.g304500	GMM:31.7.1	cell.development.zygote
Cre06.g278253		
Cre06.g253852		
Cre06.g269752		
Cre06.g282450	GMM:26.7;GMM:13.2.2.2	"misc.oxidases - copper, flavone etc;amino acid metabolism.degradation.glutamate family.proline"
Cre06.g292000	GMM:31.4	cell.vesicle transport
Cre06.g251100	GMM:29.4	protein.postranslational modification
Cre06.g253759		
Cre06.g294800		
Cre06.g253566		
Cre06.g253755		
Cre06.g305000		
Cre06.g305302		
Cre06.g309826	GMM:31.6.1.11	cell.motility.eukaryotes.other
Cre06.g296950	GMM:27.3.99;GMM:27.3.63	RNA.regulation of transcription.unclassified;RNA.regulation of transcription.PHD finger transcription factor
Cre06.g295150		
Cre06.g279474		
Cre06.g278585		
Cre06.g278158	GMM:2.1	major CHO metabolism.synthesis
Cre06.g291800	GMM:29.4	protein.postranslational modification
Cre06.g267200	GMM:9.1.2;GMM:9.1.1	mitochondrial electron transport / ATP synthesis.NADH-DH (type I).localisation not clear;mitochondrial electron transport / ATP synthesis.NADH-DH (type I).complex I
Cre06.g276450	GMM:24.1	biodegradation of xenobiotics.hydroxyacylglutathione hydrolase
Cre06.g308300	GMM:31.6.1.11	cell.motility.eukaryotes.other
Cre06.g278242		
Cre06.g268850		
Cre06.g251951	GMM:27.1.3.11;GMM:27.1	RNA.processing.3' end processing.Pfs2;RNA.processing
Cre06.g256100		
Cre06.g256850		
Cre06.g260200	GMM:34.9	transport.metabolite transporters at the mitochondrial membrane
Cre06.g301550	GMM:34.2	transport.sugars
Cre06.g280600		
Cre06.g300250	GMM:31.1.1.2;GMM:31.1	cell.organisation.cytoskeleton.mikrotubuli;cell.organisation
Cre06.g279183		
Cre06.g258566		
Cre06.g258000		
Cre06.g278500		
Cre06.g310300		
Cre06.g258733	GMM:13.1.4.4.1	amino acid metabolism.synthesis.branched chain group.leucine specific.2-isopropylmalate synthase
Cre06.g304800		
Cre06.g278258		
Cre06.g249750		
Cre06.g278170		
Cre06.g293850	GMM:9.1.1.5	mitochondrial electron transport / ATP synthesis.NADH-DH (type I).complex I.carbonic anhydrase
