Identifier	MapMan	MapManDescription	Localization	GO	GODescription	Synonym
Cre07.g318276						
Cre07.g325713				GO:0006355;GO:0005634;GO:0003677;GO:0003676	"regulation of transcription, DNA-templated;nucleus;DNA binding;nucleic acid binding"	
Cre07.g341300	GMM:33.99;GMM:30.11	development.unspecified;signalling.light		GO:0005634	nucleus	XAP5
Cre07.g355300						
Cre07.g325727	GMM:35.1.1;GMM:34.16	not assigned.no ontology.ABC1 family protein;transport.ABC transporters and multidrug resistance systems				
Cre07.g333252	GMM:2.2.2.3	major CHO metabolism.degradation.starch.glucan water dikinase				
Cre07.g356500			Secretory pathway	GO:0035556;GO:0016849;GO:0009190	intracellular signal transduction;phosphorus-oxygen lyase activity;cyclic nucleotide biosynthetic process	
Cre07.g343800				GO:0005515	protein binding	
Cre07.g345250						
Cre07.g327500						
Cre07.g350926						
Cre07.g324750			Chloroplast			
Cre07.g325400	GMM:16.5.1.1.1.5;GMM:13.1.4.4.3	secondary metabolism.sulfur-containing.glucosinolates.synthesis.aliphatic.methylthioalkylmalate dehydrogenase (MAM-DH);amino acid metabolism.synthesis.branched chain group.leucine specific.3-isopropylmalate dehydrogenase	Chloroplast	GO:0055114;GO:0051287;GO:0016616;GO:0000287	"oxidation-reduction process;NAD binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;magnesium ion binding"	LEU3
Cre07.g339850	GMM:30.2.8.2;GMM:29.4.1;GMM:29.4	signalling.receptor kinases.leucine rich repeat VIII.type 2;protein.postranslational modification.kinase;protein.postranslational modification		GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	
Cre07.g324200	GMM:11.8	"lipid metabolism.exotics (steroids, squalene etc)"				BTA1
Cre07.g343333	GMM:28.1	DNA.synthesis/chromatin structure	Mitochondrion	GO:0016787;GO:0005524;GO:0004003;GO:0003677	hydrolase activity;ATP binding;ATP-dependent DNA helicase activity;DNA binding	
Cre07.g326650						
Cre07.g349250			Secretory pathway			
Cre07.g343250	GMM:3.3	minor CHO metabolism.sugar alcohols				
Cre07.g320300			Secretory pathway			
Cre07.g347900						
Cre07.g315950						
Cre07.g333535	GMM:29.5.7	protein.degradation.metalloprotease		GO:0055085;GO:0016020;GO:0006811;GO:0005216	transmembrane transport;membrane;ion transport;ion channel activity	CAV9
Cre07.g351450	GMM:29.4.1	protein.postranslational modification.kinase	Chloroplast	GO:0007094	mitotic spindle assembly checkpoint	
Cre07.g313550			Chloroplast			
Cre07.g314900	GMM:29.2.2.3.5;GMM:28.1;GMM:27.1.2	protein.synthesis.ribosome biogenesis.pre-rRNA processing and modifications.DExD-box helicases;DNA.synthesis/chromatin structure;RNA.processing.RNA helicase		GO:0005524;GO:0003676	ATP binding;nucleic acid binding	HEL34
Cre07.g320650			Secretory pathway	GO:0006506;GO:0004584	GPI anchor biosynthetic process;dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase activity	PIGV
Cre07.g337933						
Cre07.g350400	GMM:31.3.1;GMM:26.23	cell.cycle.peptidylprolyl isomerase;misc.rhodanese	Secretory pathway			PIN3
Cre07.g315850				GO:0055114	oxidation-reduction process	
Cre07.g346800			Chloroplast			
Cre07.g328000			Secretory pathway			
Cre07.g317576			Secretory pathway			
Cre07.g338602	GMM:28.2	DNA.repair		GO:0006281;GO:0003684	DNA repair;damaged DNA binding	POLH1
Cre07.g314150	GMM:16.1.4.3;GMM:16.1.4	secondary metabolism.isoprenoids.carotenoids.zeta-carotene desaturase;secondary metabolism.isoprenoids.carotenoids	Chloroplast			ZDS1
Cre07.g338500			Secretory pathway			
Cre07.g346600			Chloroplast			
Cre07.g332050						
Cre07.g316050	GMM:29.9;GMM:1.1.99	protein.co-chaperones;PS.lightreaction.unspecified	Chloroplast			CDJ2
Cre07.g318500	GMM:16.7;GMM:11.1.10	secondary metabolism.wax;lipid metabolism.FA synthesis and FA elongation.beta ketoacyl CoA synthase		GO:0016747;GO:0016020;GO:0006633	"transferase activity, transferring acyl groups other than amino-acyl groups;membrane;fatty acid biosynthetic process"	
Cre07.g332300	GMM:2.2.2.3	major CHO metabolism.degradation.starch.glucan water dikinase	Chloroplast	GO:0016310;GO:0016301;GO:0005524	phosphorylation;kinase activity;ATP binding	GWD2
Cre07.g338400	GMM:35.1.40	not assigned.no ontology.glycine rich proteins				
Cre07.g341600	GMM:29.9;GMM:29.6.2.6;GMM:29.6	protein.co-chaperones;protein.folding.chaperones and co-chaperones.co-chaperones;protein.folding	Chloroplast	GO:0051087;GO:0042803;GO:0006457;GO:0000774	chaperone binding;protein homodimerization activity;protein folding;adenyl-nucleotide exchange factor activity	CGE1b;CGE1
Cre07.g333000	GMM:29.5.3	protein.degradation.cysteine protease		GO:0008234;GO:0006508	cysteine-type peptidase activity;proteolysis	CEP4
Cre07.g335750	GMM:31.6.1.3.2.2	cell.motility.eukaryotes.intraflagellar transport.IFT particle protein.complex B	Mitochondrion	GO:0005515	protein binding	IFT88
Cre07.g339150	GMM:29.6.2.2;GMM:29.6;GMM:1.3.13	protein.folding.chaperones and co-chaperones.HSP60s;protein.folding;PS.calvin cycle.rubisco interacting	Chloroplast.Stroma	GO:0005524	ATP binding	CPN60B2
Cre07.g352900	GMM:31.2	cell.division		GO:0005515	protein binding	
Cre07.g331650						
Cre07.g317050	GMM:29.5.11.1;GMM:29.5.11;GMM:29.2.1.2.2.40;GMM:29.2.1.2.1.27;GMM:29.1	protein.degradation.ubiquitin.ubiquitin;protein.degradation.ubiquitin;protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L40;protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S27;protein.aa activation	Chloroplast	GO:0005515	protein binding	UBQ6
Cre07.g324233			Chloroplast			
Cre07.g322900	GMM:11.9.2.1	lipid metabolism.lipid degradation.lipases.triacylglycerol lipase		GO:0006629	lipid metabolic process	
Cre07.g315300	GMM:23.1.2	nucleotide metabolism.synthesis.purine				CSG4
Cre07.g354976			Chloroplast			
Cre07.g354550			Mitochondrion			
Cre07.g346500	GMM:29.4	protein.postranslational modification	Mitochondrion			
Cre07.g346400						
Cre07.g313100						
Cre07.g328950						
Cre07.g314600	GMM:7.2.4;GMM:1.3.10	OPP.non-reductive PP.ribose 5-phosphate isomerase;PS.calvin cycle.Rib5P Isomerase	Chloroplast	GO:0009052;GO:0004751	"pentose-phosphate shunt, non-oxidative branch;ribose-5-phosphate isomerase activity"	RPI2
Cre07.g321900						
Cre07.g323250			Mitochondrion			
Cre07.g318900						DNJ2
Cre07.g339900	GMM:30.2.20;GMM:3.6;GMM:29.4.1;GMM:29.4	signalling.receptor kinases.wheat LRK10 like;minor CHO metabolism.callose;protein.postranslational modification.kinase;protein.postranslational modification	Secretory pathway	GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	MAPKKK5
Cre07.g336850						
Cre07.g325719						
Cre07.g317650				GO:0016758;GO:0008152	"transferase activity, transferring hexosyl groups;metabolic process"	
Cre07.g357000			Chloroplast			
Cre07.g354900						
Cre07.g351850	GMM:29.4	protein.postranslational modification		GO:0008080	N-acetyltransferase activity	
Cre07.g348150			Chloroplast			
Cre07.g327687						
Cre07.g343750			Chloroplast			
Cre07.g324600	GMM:31.4	cell.vesicle transport		GO:0015031;GO:0008565	protein transport;protein transporter activity	AP2S2
Cre07.g353850			Mitochondrion			
Cre07.g340250	GMM:30.2.8.2;GMM:30.2.20;GMM:29.4.1.57;GMM:29.4.1;GMM:29.4	signalling.receptor kinases.leucine rich repeat VIII.type 2;signalling.receptor kinases.wheat LRK10 like;protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII;protein.postranslational modification.kinase;protein.postranslational modification	Secretory pathway	GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	
Cre07.g329850	GMM:29.4.1;GMM:29.4	protein.postranslational modification.kinase;protein.postranslational modification	Mitochondrion	GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	KCN5
Cre07.g355466	GMM:28.2;GMM:28.1;GMM:27.3.34	DNA.repair;DNA.synthesis/chromatin structure;RNA.regulation of transcription.orphan family	Mitochondrion			AGE2
Cre07.g315550			Mitochondrion	GO:0005524	ATP binding	
Cre07.g336400			Mitochondrion			
Cre07.g319310						
Cre07.g323450	GMM:29.2.2.3.3	protein.synthesis.ribosome biogenesis.pre-rRNA processing and modifications.methylotransferases		GO:0008168;GO:0008152	methyltransferase activity;metabolic process	
Cre07.g353555				GO:0046983	protein dimerization activity	
Cre07.g350800			Mitochondrion			
Cre07.g350750	GMM:1.1.40	PS.lightreaction.cyclic electron flow-chlororespiration		GO:0055114;GO:0009916	oxidation-reduction process;alternative oxidase activity	PTOX1
Cre07.g321100				GO:0016773;GO:0005975	"phosphotransferase activity, alcohol group as acceptor;carbohydrate metabolic process"	
Cre07.g322700						
Cre07.g331300	GMM:2.1.2.1	major CHO metabolism.synthesis.starch.AGPase	Chloroplast	GO:0016779;GO:0009058	nucleotidyltransferase activity;biosynthetic process	AGP3
Cre07.g338200				GO:0005515	protein binding	
Cre07.g323950	GMM:26.7	"misc.oxidases - copper, flavone etc"	Chloroplast	GO:0055114;GO:0016491	oxidation-reduction process;oxidoreductase activity	PHX23
Cre07.g357250			Secretory pathway			
Cre07.g333640			Secretory pathway			
Cre07.g334300	GMM:33.99;GMM:3.5;GMM:1.1.1.1	development.unspecified;minor CHO metabolism.others;PS.lightreaction.photosystem II.LHC-II		GO:0055085;GO:0016020;GO:0006811;GO:0005515;GO:0005216	transmembrane transport;membrane;ion transport;protein binding;ion channel activity	TRP6
Cre07.g352400	GMM:3.4.1;GMM:28.1	minor CHO metabolism.myo-inositol.poly-phosphatases;DNA.synthesis/chromatin structure				
Cre07.g343600	GMM:3.3	minor CHO metabolism.sugar alcohols	Secretory pathway			
Cre07.g340950			Chloroplast			AXL4
Cre07.g350250			Secretory pathway			
Cre07.g344668			Secretory pathway	GO:0043565;GO:0006355;GO:0003700	"sequence-specific DNA binding;regulation of transcription, DNA-templated;transcription factor activity, sequence-specific DNA binding"	
Cre07.g339300	GMM:29.6.2.6	protein.folding.chaperones and co-chaperones.co-chaperones	Chloroplast	GO:0008270	zinc ion binding	HEP3
Cre07.g330200	GMM:31.6.1.5.1	cell.motility.eukaryotes.radial spoke.head	Secretory pathway			RSP9
Cre07.g323600			Chloroplast			
Cre07.g330250	GMM:1.1.2.2	PS.lightreaction.photosystem I.PSI polypeptide subunits	Chloroplast	GO:0015979;GO:0009538;GO:0009522	photosynthesis;photosystem I reaction center;photosystem I	PSAH
Cre07.g335650			Secretory pathway			
Cre07.g345900	GMM:27.1.19	RNA.processing.ribonucleases		GO:0016891;GO:0006396;GO:0005524;GO:0004525;GO:0003723;GO:0003676	"endoribonuclease activity, producing 5'-phosphomonoesters;RNA processing;ATP binding;ribonuclease III activity;RNA binding;nucleic acid binding"	DCL3
Cre11.g481250			Chloroplast			
Cre11.g482400						
Cre11.g480100			Chloroplast			
Cre11.g467550	GMM:23.1.1.3	nucleotide metabolism.synthesis.pyrimidine.dihydroorotase	Chloroplast	GO:0019856;GO:0016787;GO:0004151	pyrimidine nucleobase biosynthetic process;hydrolase activity;dihydroorotase activity	
Cre11.g467608	GMM:29.5.7	protein.degradation.metalloprotease	Secretory pathway			MMP12
Cre11.g467728				GO:0004519;GO:0003676	endonuclease activity;nucleic acid binding	
Cre11.g475450			Secretory pathway	GO:0008242;GO:0005515	omega peptidase activity;protein binding	
Cre11.g477800						HDA10
Cre11.g467634	GMM:29.4.1.57;GMM:29.4	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII;protein.postranslational modification	Mitochondrion	GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre11.g478750	GMM:31.3.1;GMM:29.6.3.1	cell.cycle.peptidylprolyl isomerase;protein.folding.immunophilins (IMM).FKBPs	Secretory pathway	GO:0006457	protein folding	FKB15-2
Cre11.g467682			Chloroplast			
Cre11.g467560						DYX1C1
Cre11.g478450			Secretory pathway			
Cre11.g467717	GMM:26.8	"misc.nitrilases, nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases"	Chloroplast	GO:0016810;GO:0006807	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds;nitrogen compound metabolic process"	
Cre11.g467624			Mitochondrion			
Cre11.g481050	GMM:27.3.53	RNA.regulation of transcription.high mobility group family (HMG)				
Cre11.g480050				GO:0005515	protein binding	EXN14
Cre11.g467541						
Cre11.g480132			Secretory pathway			
Cre11.g467743				GO:0008270	zinc ion binding	
Cre11.g479050	GMM:31.3.1;GMM:29.6.3.1	cell.cycle.peptidylprolyl isomerase;protein.folding.immunophilins (IMM).FKBPs	Secretory pathway	GO:0006457	protein folding	FKB15-1
Cre11.g467778	GMM:23.3.1.3	nucleotide metabolism.salvage.phosphoribosyltransferases.uracil phosphoribosyltransferase (UPP)	Chloroplast			
Cre11.g481450	GMM:1.1.4.9;GMM:1.1.4	PS.lightreaction.ATP synthase.subunit B (ATPX);PS.lightreaction.ATP synthase	Chloroplast	GO:0045263;GO:0015986;GO:0015078	"proton-transporting ATP synthase complex, coupling factor F(o);ATP synthesis coupled proton transport;hydrogen ion transmembrane transporter activity"	ATPG
Cre11.g467642	GMM:2.1	major CHO metabolism.synthesis	Secretory pathway			
Cre11.g467572			Secretory pathway			
Cre11.g478350			Secretory pathway			
Cre11.g467737			Chloroplast			
Cre11.g475950	GMM:27.3.69	RNA.regulation of transcription.SET-domain transcriptional regulator family		GO:0005515	protein binding	HLM16
Cre11.g478050			Secretory pathway			
Cre11.g467706	GMM:27.3.55	RNA.regulation of transcription.HDA	Mitochondrion			
Cre11.g469300			Mitochondrion			
Cre11.g480750				GO:0016787	hydrolase activity	
Cre11.g469224			Chloroplast	GO:0016791	phosphatase activity	
Cre11.g468359			Secretory pathway			GAS31
Cre11.g467544	GMM:16.1.2.7	secondary metabolism.isoprenoids.mevalonate pathway.isopentenyl pyrophosphate:dimethyllallyl pyrophosphate isomerase		GO:0016787;GO:0008299;GO:0004452	hydrolase activity;isoprenoid biosynthetic process;isopentenyl-diphosphate delta-isomerase activity	IDI1
Cre11.g467656			Secretory pathway			
Cre11.g480502						
Cre11.g481093						
Cre11.g467551			Secretory pathway			
Cre11.g467616			Chloroplast			IFT56
Cre11.g483400	GMM:26.2	misc.UDP glucosyl and glucoronyl transferases	Secretory pathway			ELG10
Cre11.g467738			Mitochondrion	GO:0016021	integral component of membrane	
Cre11.g467582						FAP306
Cre11.g467786			Secretory pathway	GO:0055114;GO:0020037;GO:0016705;GO:0005506	"oxidation-reduction process;heme binding;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;iron ion binding"	
Cre11.g481833						
Cre11.g482250			Secretory pathway			
Cre11.g479750	GMM:29.3.4.99;GMM:29.3.3	protein.targeting.secretory pathway.unspecified;protein.targeting.chloroplast	Chloroplast	GO:0048500;GO:0008312;GO:0006614;GO:0005525;GO:0003924	signal recognition particle;7S RNA binding;SRP-dependent cotranslational protein targeting to membrane;GTP binding;GTPase activity	SRP54L
Cre11.g475100				GO:0008080	N-acetyltransferase activity	
Cre11.g468850						FAP152
Cre11.g467725			Secretory pathway			
Cre11.g467677			Secretory pathway	GO:0016021;GO:0004252	integral component of membrane;serine-type endopeptidase activity	
Cre11.g467537						PPR12
Cre11.g467581	GMM:27.3.9	RNA.regulation of transcription.C2C2(Zn) GATA transcription factor family		GO:0043565;GO:0008270;GO:0006355;GO:0003700	"sequence-specific DNA binding;zinc ion binding;regulation of transcription, DNA-templated;transcription factor activity, sequence-specific DNA binding"	
Cre11.g482626						
Cre11.g478456			Secretory pathway			
Cre11.g476950			Secretory pathway			
Cre11.g467648	GMM:29.5	protein.degradation	Chloroplast	GO:0016021;GO:0006508;GO:0004252	integral component of membrane;proteolysis;serine-type endopeptidase activity	RBL3
Cre11.g467730			Chloroplast			
Cre11.g467702			Chloroplast			
Cre11.g480700				GO:0055114	oxidation-reduction process	
Cre11.g469000						FAP107
Cre11.g477625	GMM:19.10;GMM:19.1	tetrapyrrole synthesis.magnesium chelatase;tetrapyrrole synthesis.glu-tRNA synthetase	Chloroplast	GO:0016851;GO:0009058	magnesium chelatase activity;biosynthetic process	CHLH2
Cre11.g480150	GMM:29.2.1.2.1.14	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S14		GO:0006412;GO:0005840;GO:0003735	translation;ribosome;structural constituent of ribosome	RPS14
Cre11.g467693			Chloroplast			
Cre11.g478700	GMM:31.3.1;GMM:29.6.3.1	cell.cycle.peptidylprolyl isomerase;protein.folding.immunophilins (IMM).FKBPs	Secretory pathway	GO:0006457	protein folding	FKB15-4
Cre11.g468650	GMM:16.1	secondary metabolism.isoprenoids				
Cre11.g467775			Chloroplast			
Cre11.g467640						
Cre11.g474900			Chloroplast			
Cre11.g478300				GO:0032259;GO:0008168	methylation;methyltransferase activity	SOM4
Cre11.g480060	GMM:28.99	DNA.unspecified				
Cre11.g467579	GMM:28.2	DNA.repair				CSC6
Cre11.g479150			Mitochondrion			
Cre11.g467696			Secretory pathway			
Cre11.g467900			Secretory pathway			
Cre11.g483033	GMM:20.2.3	stress.abiotic.drought/salt	Chloroplast			
Cre11.g482900	GMM:30.5;GMM:3.5	signalling.G-proteins;minor CHO metabolism.others		GO:0005525	GTP binding	RAB20
Cre11.g467744						
Cre11.g467652			Mitochondrion			
Cre11.g467718	GMM:20.2.1;GMM:15.2	"stress.abiotic.heat;metal handling.binding, chelation and storage"	Mitochondrion	GO:0051259;GO:0051087;GO:0006457	protein oligomerization;chaperone binding;protein folding	HSC20A
Cre11.g467571						
Cre11.g467713	GMM:29.4	protein.postranslational modification				
Cre11.g481500	GMM:13.1.7.5;GMM:13.1.7.4;GMM:13.1.7	amino acid metabolism.synthesis.histidine.phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (BBM II);amino acid metabolism.synthesis.histidine.bifunctional phosphoribosyl-ATP pyrophosphatase / phosphoribosyl-AMP cyclohydrolase;amino acid metabolism.synthesis.histidine	Chloroplast	GO:0000105	histidine biosynthetic process	HIS7
Cre11.g476400	GMM:28.2;GMM:28.1	DNA.repair;DNA.synthesis/chromatin structure	Mitochondrion	GO:0006284	base-excision repair	MAG1
Cre11.g479100			Chloroplast			
Cre11.g483150						
Cre11.g467591	GMM:28.2	DNA.repair		GO:0003676	nucleic acid binding	
Cre11.g468900						FAP404
Cre11.g467588	GMM:30.2.24;GMM:29.4	signalling.receptor kinases.S-locus glycoprotein like;protein.postranslational modification		GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre11.g467794						
Cre11.g467752						
Cre11.g467565						
Cre11.g475700						
Cre11.g467615			Secretory pathway	GO:0005509	calcium ion binding	
Cre11.g467670			Secretory pathway			
Cre11.g482001	GMM:31.1	cell.organisation	Mitochondrion			FAP208
Cre11.g468368			Mitochondrion			
Cre11.g467758						
Cre11.g467736						
Cre11.g468356			Mitochondrion	GO:0006606	protein import into nucleus	
Cre11.g467602						
Cre11.g467621						CSU7
Cre11.g467627	GMM:17.6.1.4;GMM:17.3.1.1.2	hormone metabolism.gibberelin.synthesis-degradation.ent-kaurenoic acid hydroxylase/oxygenase;hormone metabolism.brassinosteroid.synthesis-degradation.BRs.DWF4	Secretory pathway	GO:0055114;GO:0020037;GO:0016705;GO:0005506	"oxidation-reduction process;heme binding;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;iron ion binding"	
Cre11.g476050	GMM:31.6.1.4.2.1;GMM:31.6.1.4.1	cell.motility.eukaryotes.axonemal dyneins.inner arm.monomeric species;cell.motility.eukaryotes.axonemal dyneins.outer arm		GO:0030286;GO:0016887;GO:0007018;GO:0005524;GO:0003777	dynein complex;ATPase activity;microtubule-based movement;ATP binding;microtubule motor activity	DHC15
Cre11.g475050						
Cre11.g482600			Mitochondrion			
Cre11.g478650			Secretory pathway			
Cre11.g467705	GMM:34.1	transport.p- and v-ATPases		GO:0033179;GO:0015991;GO:0015078	"proton-transporting V-type ATPase, V0 domain;ATP hydrolysis coupled proton transport;hydrogen ion transmembrane transporter activity"	
Cre11.g476900						
Cre11.g467561						FAP222
Cre11.g467641			Mitochondrion			
Cre11.g467720	GMM:29.4	protein.postranslational modification		GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	
Cre11.g469150			Chloroplast			
Cre11.g477700						
Cre11.g479700						DFO1
Cre11.g468250			Chloroplast			
Cre11.g467664			Secretory pathway			
Cre11.g467753	GMM:19.21	tetrapyrrole synthesis.heme oxygenase		GO:0055114;GO:0006788;GO:0004392	oxidation-reduction process;heme oxidation;heme oxygenase (decyclizing) activity	HMO2
Cre11.g467594	GMM:3.3	minor CHO metabolism.sugar alcohols		GO:0005515	protein binding	
Cre11.g467542			Mitochondrion			
Cre11.g481082			Secretory pathway			
Cre11.g480250	GMM:11.9.2	lipid metabolism.lipid degradation.lipases	Chloroplast	GO:0006629	lipid metabolic process	
Cre11.g467635	GMM:31.6.1.11	cell.motility.eukaryotes.other				MOT22
Cre11.g467583	GMM:29.4	protein.postranslational modification				
Cre11.g469800						
Cre11.g467701			Mitochondrion			
Cre11.g479650	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING		GO:0016567;GO:0005515;GO:0004842	protein ubiquitination;protein binding;ubiquitin-protein transferase activity	
Cre11.g467710			Secretory pathway			VSP1
Cre11.g475300						
Cre11.g474850	GMM:29.1.30	protein.aa activation.pseudouridylate synthase		GO:0009982;GO:0009451;GO:0003723;GO:0001522	pseudouridine synthase activity;RNA modification;RNA binding;pseudouridine synthesis	PUS17
Cre11.g482850			Chloroplast	GO:0060236;GO:0032147;GO:0005874;GO:0005819	regulation of mitotic spindle organization;activation of protein kinase activity;microtubule;spindle	
Cre11.g467654	GMM:27.1.2	RNA.processing.RNA helicase		GO:0004386	helicase activity	
Cre11.g475750			Secretory pathway			
Cre11.g467531						
Cre11.g469187			Chloroplast			
Cre11.g468600			Mitochondrion			
Cre11.g478600			Chloroplast			
Cre11.g468800			Chloroplast			PHC71
Cre11.g475200						
Cre11.g467590	GMM:29.4	protein.postranslational modification	Chloroplast			
Cre11.g474700						
Cre11.g467653			Secretory pathway			
Cre11.g475000	GMM:31.6.1.3.2.1	cell.motility.eukaryotes.intraflagellar transport.IFT particle protein.complex A				IFT121
Cre11.g481700	GMM:27.1.1	RNA.processing.splicing		GO:0006396;GO:0003723	RNA processing;RNA binding	
Cre11.g467792						
Cre11.g467708						
Cre11.g467617	GMM:7.1.3	OPP.oxidative PP.6-phosphogluconate dehydrogenase		GO:0051287	NAD binding	LCI19
Cre11.g467678	GMM:31.9;GMM:23.1.2;GMM:17.4.2	cell.eyespot;nucleotide metabolism.synthesis.purine;hormone metabolism.cytokinin.signal transduction	Chloroplast	GO:0035556;GO:0016849;GO:0016020;GO:0009190;GO:0007165;GO:0000160;GO:0000155	intracellular signal transduction;phosphorus-oxygen lyase activity;membrane;cyclic nucleotide biosynthetic process;signal transduction;phosphorelay signal transduction system;phosphorelay sensor kinase activity	COP6
Cre11.g467699	GMM:33.99;GMM:31.4;GMM:31.2;GMM:29.3.4.99;GMM:29.3.4	development.unspecified;cell.vesicle transport;cell.division;protein.targeting.secretory pathway.unspecified;protein.targeting.secretory pathway		GO:0016192;GO:0006904	vesicle-mediated transport;vesicle docking involved in exocytosis	SEC1
Cre11.g469750			Secretory pathway			
Cre11.g467644	GMM:29.6.2.5;GMM:20.2.1	protein.folding.chaperones and co-chaperones.HSP100s;stress.abiotic.heat	Cytosol	GO:0019538;GO:0016887;GO:0005524	protein metabolic process;ATPase activity;ATP binding	CLPB1
Cre11.g481951			Chloroplast			
Cre11.g477900			Secretory pathway			
Cre11.g468063			Chloroplast			
Cre11.g479350						
Cre11.g479200				GO:0016192;GO:0006904	vesicle-mediated transport;vesicle docking involved in exocytosis	
Cre11.g467618			Mitochondrion			
Cre11.g482101			Secretory pathway			
Cre11.g480400	GMM:1.5	PS.carbon concentrating mechanism	Secretory pathway			PHC39
Cre11.g467800			Secretory pathway			
Cre11.g483450			Mitochondrion			
Cre11.g482676						
Cre11.g467756	GMM:29.5.7	protein.degradation.metalloprotease	Secretory pathway			MMP5
Cre11.g467796						
Cre11.g467524				GO:0016787	hydrolase activity	
Cre11.g467732			Mitochondrion			
Cre11.g467665				GO:0005515	protein binding	
Cre11.g476550	GMM:11.8.7	"lipid metabolism.exotics (steroids, squalene etc).trans-2-enoyl-CoA reductase (NADPH)"		GO:0055114;GO:0016491;GO:0008270	oxidation-reduction process;oxidoreductase activity;zinc ion binding	ADH11
Cre11.g480600						
Cre11.g475500			Mitochondrion			
Cre11.g478025						
Cre11.g467553	GMM:29.2.4	protein.synthesis.elongation	Mitochondrion	GO:0005525	GTP binding	
Cre11.g467788			Secretory pathway			
Cre11.g481350						
Cre11.g476250	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING	Secretory pathway	GO:0008270;GO:0005515	zinc ion binding;protein binding	
Cre11.g476700	GMM:26.13	misc.acid and other phosphatases	Secretory pathway	GO:0016787	hydrolase activity	MPA9
Cre11.g469375						
Cre11.g467622	GMM:17.2.3	hormone metabolism.auxin.induced-regulated-responsive-activated				
Cre11.g467773			Chloroplast			
Cre11.g478850			Chloroplast			
Cre11.g467704						
Cre11.g467687			Mitochondrion			
Cre11.g477150						
Cre11.g467609	GMM:29.5.11.4.1	protein.degradation.ubiquitin.E3.HECT		GO:0004842	ubiquitin-protein transferase activity	
Cre11.g467668	GMM:9.1.1	mitochondrial electron transport / ATP synthesis.NADH-DH (type I).complex I				NUOB22
Cre11.g481115			Chloroplast			
Cre11.g467584	GMM:29.4	protein.postranslational modification		GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre11.g476850	GMM:31.6.1.7	cell.motility.eukaryotes.dynein regulatory complex (DRC)		GO:0048870;GO:0031514	cell motility;motile cilium	DRC4
Cre11.g467529			Chloroplast			
Cre11.g467663			Mitochondrion	GO:0005515	protein binding	
Cre11.g467760						
Cre11.g482483	GMM:28.99	DNA.unspecified		GO:0005524;GO:0003676	ATP binding;nucleic acid binding	
Cre11.g468365						
Cre11.g467680	GMM:28.1	DNA.synthesis/chromatin structure				
Cre11.g476000						
Cre11.g467757						
Cre11.g476750	GMM:7.3;GMM:1.1.5.3	OPP.electron transfer;PS.lightreaction.other electron carrier (ox/red).ferredoxin reductase	Chloroplast	GO:0055114;GO:0016491	oxidation-reduction process;oxidoreductase activity	FNR1
Cre11.g477250						
Cre11.g467692			Chloroplast			
Cre11.g467532						
Cre11.g467655	GMM:29.5.5;GMM:29.3.4.99;GMM:29.3.2	protein.degradation.serine protease;protein.targeting.secretory pathway.unspecified;protein.targeting.mitochondria	Mitochondrion	GO:0016020;GO:0008236;GO:0006508	membrane;serine-type peptidase activity;proteolysis	IMP1
Cre11.g467731			Mitochondrion			
Cre11.g467715						
Cre11.g467528	GMM:34.21	transport.calcium		GO:0055085;GO:0016020;GO:0006811;GO:0005216	transmembrane transport;membrane;ion transport;ion channel activity	CAV4
Cre11.g479383			Secretory pathway			
Cre11.g482841			Chloroplast			
Cre11.g467595	GMM:35.1.19;GMM:3.3	not assigned.no ontology.C2 domain-containing protein;minor CHO metabolism.sugar alcohols		GO:0005515	protein binding	
Cre11.g476650	GMM:2.2.2.9;GMM:2.1.2.4	major CHO metabolism.degradation.starch.limit dextrinase/pullulanase;major CHO metabolism.synthesis.starch.debranching	Chloroplast	GO:0030246;GO:0005975;GO:0004553;GO:0003824	"carbohydrate binding;carbohydrate metabolic process;hydrolase activity, hydrolyzing O-glycosyl compounds;catalytic activity"	PUL1
